sample_id,scope,layer,sparsity,zero_count,total_count
0,layer,0,0.6279647765371964,1270639,2023424
0,layer,15,0.524783238708249,1061859,2023424
0,layer,31,0.4999258682312753,1011562,2023424
0,overall,all,0.5508912944922402,3344060,6070272
1,layer,0,0.6681792842231782,1352010,2023424
1,layer,15,0.5396713689271255,1091984,2023424
1,layer,31,0.5121842975075911,1036366,2023424
1,overall,all,0.5733449835526315,3480360,6070272
2,layer,0,0.6542281795609818,1323781,2023424
2,layer,15,0.5177412148911943,1047610,2023424
2,layer,31,0.5050286049784919,1021887,2023424
2,overall,all,0.558999333143556,3393278,6070272
3,layer,0,0.6361088926492915,1287118,2023424
3,layer,15,0.5378803453947368,1088360,2023424
3,layer,31,0.5074596327808705,1026806,2023424
3,overall,all,0.560482956941633,3402284,6070272
4,layer,0,0.643941655332743,1302967,2023424
4,layer,15,0.5267778774987348,1065895,2023424
4,layer,31,0.5269123031060222,1066167,2023424
4,overall,all,0.5658772786458334,3435029,6070272
